Biomarker,Subtype,Age,Coefficient,p,t
ACP5,3,49.0,0.26189066680896433,7.251946877146368e-08,5.4093841906834355
BCAM,3,64.0,0.19503820305900832,7.406491082697214e-08,5.400454479296195
PROC,3,49.0,0.2735815402553745,8.342613398950233e-08,5.383789843629558
SFRP1,3,64.0,0.21998895513687183,8.779755793570295e-08,5.36943299158627
IGSF3,3,49.0,0.21438225256051954,9.056221793547566e-08,5.368745141894264
CFI,3,49.0,0.28225051079126706,9.323070313712455e-08,5.363412860878801
LAMP3,3,64.0,0.21475373536903977,9.112853970256427e-08,5.362619755202707
LGALS9,3,64.0,0.19499641018069763,9.733175924365095e-08,5.350551149871491
SERPING1,3,49.0,0.29220934354257,1.0102439002226996e-07,5.348646013898605
RBFOX3,3,64.0,0.20342278996145835,1.0391088671683172e-07,5.3385396274235735
KLRD1,3,49.0,0.25535111507584674,1.1058342059482679e-07,5.331972840943039
TREM2,3,49.0,0.23238004597823253,1.1214001026070787e-07,5.329390785573845
DPP4,3,49.0,0.25131965891243463,1.1476089223532812e-07,5.32512072834895
DTX3,3,49.0,0.23211107263533037,1.3370424652394857e-07,5.296804003509258
CNTN4,3,49.0,0.24430854552820083,1.338576380866425e-07,5.296590972426046
DCBLD2,3,64.0,0.2287663397125756,1.3066544005495102e-07,5.296270792425615
KRT19,3,64.0,0.22600690523298453,1.3578376123211741e-07,5.289151712952449
FAP,3,49.0,0.2356548585435316,1.4596360903115115e-07,5.280482209881755
IL32,3,49.0,0.254416145315878,2.0062407580362613e-07,5.220916617316776
FLT3LG,3,49.0,0.24813927540376626,2.039852195512553e-07,5.217788307137121
AREG,3,64.0,0.2051085235632183,2.0979322828952434e-07,5.207925723695623
TSPAN8,3,49.0,0.24246905805401417,2.2666744199191736e-07,5.197896387825234
TGFBR2,3,64.0,0.1629898207431229,2.219733429709251e-07,5.197304520049967
NBL1,3,64.0,0.1821293953047382,2.2233438596704683e-07,5.196998360984683
FGF6,3,49.0,0.24241425897628976,2.5535072356689776e-07,5.17533323631427
MMP12,3,49.0,0.23172516011804753,2.6740946356942176e-07,5.16657159554523
PKD1,3,64.0,0.19452676090657797,2.6253134915704015e-07,5.165604093006416
CTHRC1,3,64.0,0.2018319840732174,2.866479652737724e-07,5.148931559883688
PTN,3,64.0,0.21393443418193034,2.9967018067414156e-07,5.140484465148159
SFTPD,3,64.0,0.22129232842829616,3.1145276918310543e-07,5.133141733087133
TNFSF13,3,64.0,0.20474635103554717,3.1595487845442506e-07,5.130406757177874
SPP1,3,49.0,0.26128592268294804,3.2590790055441397e-07,5.128853602236507
PLAUR,3,64.0,0.1848565999669014,3.20307065173401e-07,5.127798417880563
CNTN5,3,49.0,0.22910073085896482,3.70625652138722e-07,5.104204588143095
CSPG4,3,49.0,0.23651475780122283,3.7583361865438297e-07,5.101523057159138
FAM20A,3,49.0,0.25938667541611765,3.762773203542993e-07,5.101296261459833
ASPN,3,49.0,0.23320914002439336,3.7741172708808635e-07,5.100717588105477
CCL25,3,49.0,0.26788995823412454,3.979115014447004e-07,5.090540158078921
SMOC2,3,64.0,0.18772076934168988,4.032845570983838e-07,5.08369507237423
IGFBP2,3,64.0,0.20953835362882026,4.894055093871521e-07,5.04636877159523
TNFRSF4,3,64.0,0.17702740609955514,4.958284434232359e-07,5.043845225706436
PENK,3,64.0,0.19530762348028302,4.983230270140696e-07,5.042873610717774
LDLR,3,49.0,0.24652956115794186,5.153425119413106e-07,5.04051392100132
MLN,3,64.0,0.21363373205491715,5.232923016333141e-07,5.033398985605356
MYBPC1,3,49.0,0.23052143729773586,6.372929199527367e-07,4.999087986787093
FBP1,3,49.0,0.22601032660244275,6.611947346309532e-07,4.991875270749562
AFP,3,49.0,0.2459230340567218,6.900030083579443e-07,4.983508986668416
B3GNT7,3,49.0,0.25223442465526047,7.546909092907112e-07,4.965888065486556
CD163,3,49.0,0.2143940932733848,7.844980909906544e-07,4.958253748482351
GIPC2,3,49.0,0.23514885162598426,7.921168493220748e-07,4.956347296998701
PCDH9,3,49.0,0.2599019020600064,7.969970744979798e-07,4.955135378904703
JAM2,3,64.0,0.16103966220017862,8.208985507224713e-07,4.945369436190504
PRCP,3,49.0,0.22340952116400797,8.441255207336467e-07,4.943786696268759
CDHR2,3,49.0,0.23784720143154375,8.506929551464018e-07,4.942253955165229
PDGFRA,3,49.0,0.21160220261737356,9.245111352902625e-07,4.925769514315172
CKAP4,3,64.0,0.17171591130478053,9.797151251572096e-07,4.9103996392238445
ANXA10,3,64.0,0.21652234201106604,1.055145860686698e-06,4.89566656768298
DSC2,3,64.0,0.17924703400146152,1.1121412869876167e-06,4.885192422394077
TNFSF13,3,49.0,0.2241837064684205,1.1961562605834118e-06,4.874420537809371
ITGA5,3,49.0,0.2109189160743917,1.2296131695193386e-06,4.86889273798199
TFPI,3,49.0,0.2445418389176514,1.3254206025566802e-06,4.853829350918559
CLMP,3,64.0,0.18347157239804532,1.3164572157798234e-06,4.851475100966367
CXCL10,3,64.0,0.19666978006967278,1.3456007598263312e-06,4.847082058559184
SCRG1,3,64.0,0.1759801855930765,1.35871823915439e-06,4.845134562666147
TIMP4,3,64.0,0.21995616870663057,1.4574205891269057e-06,4.831035690971628
COL18A1,3,64.0,0.18935323854869046,1.4689680330482415e-06,4.829446676610189
TMPRSS15,3,49.0,0.23290631792456307,1.5839915100337127e-06,4.817879559512868
CHRDL1,3,49.0,0.18556701436067663,1.5885755959299702e-06,4.817294638781888
IGF1R,3,49.0,0.21053379474729736,1.6301728625958043e-06,4.8120599244956335
OMD,3,49.0,0.24814383180598737,1.8185726677150804e-06,4.78985451817985
LILRB4,3,64.0,0.1903024326766092,1.924873840422553e-06,4.774733955148992
MSR1,3,64.0,0.1701359910013517,2.0109432300877408e-06,4.765826189621146
CCL27,3,49.0,0.22775417398241177,2.1907321407515124e-06,4.751837498313425
PCSK9,3,49.0,0.24220840455139914,2.3194208438320406e-06,4.740127022883758
GIP,3,49.0,0.18640716913009012,2.430322715955582e-06,4.730525656128415
CCL16,3,49.0,0.24042950660767826,2.4306930369605223e-06,4.730494306374858
FAM3C,3,64.0,0.18352232930291096,2.3910620863317813e-06,4.730420946318304
CCL11,3,49.0,0.24286974192589178,2.552856529578701e-06,4.720395016447124
DDC,3,49.0,0.2380131921625848,2.980322687955464e-06,4.688381161707854
TNFRSF10A,3,64.0,0.18967930428200042,2.963964928336304e-06,4.686161093214211
GALNT10,3,49.0,0.23152007248266793,3.18730591509637e-06,4.674435608597544
NPTX1,3,49.0,0.21638428207271584,3.2112194918336942e-06,4.672880829185461
CKB,3,64.0,0.19033582592145168,3.1820112068590405e-06,4.67145044151655
IGFBP6,3,64.0,0.16254917175533506,3.284116248244771e-06,4.664891649949029
CHGB,3,64.0,0.18740660657550906,3.315545205186319e-06,4.662912150425326
C1QA,3,64.0,0.19015707205611587,3.3680773904370143e-06,4.659643359681082
SEMA3F,3,49.0,0.208096470564837,3.5412956338094544e-06,4.6524862834513465
NCS1,3,64.0,0.18332127761802697,3.5541929476795073e-06,4.6484434950348215
CSPG4,3,64.0,0.17934609365365414,3.5731620894868224e-06,4.647333775124558
LCAT,3,49.0,0.23490654273732234,3.8040626252364247e-06,4.637515512426117
ENTPD2,3,49.0,0.20860479508354218,3.899671774121638e-06,4.632313528990736
DKK3,3,49.0,0.19677079953605087,3.903398600112646e-06,4.632113243542707
DPT,3,64.0,0.1815565637648206,4.118120685227669e-06,4.617652174167311
CXCL9,3,49.0,0.23146126943667186,4.181855821932488e-06,4.617644525375523
NPDC1,3,64.0,0.17175958427325627,4.191689431378181e-06,4.613937476000241
FGF12,3,49.0,0.23007800610381418,4.300554086569152e-06,4.611756012566029
ITGBL1,3,49.0,0.1944073138293404,4.395849152563167e-06,4.607140243711867
SPON1,3,64.0,0.1826724773526361,4.366530778941118e-06,4.605354191044569
EDIL3,3,64.0,0.18569808926448889,4.39664142467174e-06,4.60390935238032
SPON1,3,49.0,0.20555593168451108,4.730961565551166e-06,4.59163730973901
CHI3L1,3,64.0,0.20754065754584797,4.912825072951587e-06,4.580513312477925
