biom,subtype,t_statistic,p_value,corrected_p_value,significant
SERPINI1,2,15.111342675618987,2.088873154831e-51,3.0528881157855066e-47,True
SERPINI1,3,-18.701665253162595,1.298265761896887e-77,1.8974154110123002e-73,True
SERPINI1,4,0.7334740602407759,0.46327495010926467,1.0,False
SERPINI1,5,16.34461956369042,8.509443790415334e-60,1.243655209969201e-55,True
SERPINI2,1,-1.7395483511461518,0.08194838806155391,1.0,False
SERPINI2,2,10.398891660357387,2.763439424740214e-25,4.038766719257822e-21,True
SERPINI2,3,-8.73929077432391,2.462875682180471e-18,3.599492809506758e-14,True
SERPINI2,4,-5.2425855289033665,1.5938984543379947e-07,0.0023294825910149795,True
SERPINI2,5,6.43264583936596,1.272475551870621e-10,1.8597230190589128e-06,True
SESTD1,1,-16.036531578119266,1.2189489923578729e-57,1.7814939523310312e-53,True
SESTD1,2,2.101958877207177,0.035565012064528154,1.0,False
SESTD1,3,-8.948588369037013,3.7983712273464067e-19,5.5513195487667735e-15,True
SESTD1,4,19.900134987817886,1.4508836312391925e-87,2.12046642705608e-83,True
SESTD1,5,5.596462814741978,2.2063566619661215e-08,0.0003224590261463487,True
SETMAR,1,-25.18011656030118,1.6940274259692658e-138,2.475821083054082e-134,True
SETMAR,2,20.7373029362484,7.158200259925542e-95,1.046170967988118e-90,True
SETMAR,3,-38.81502946982051,0.0,0.0,True
SETMAR,4,19.884791953116228,1.9625664896728932e-87,2.8682909246569333e-83,True
SETMAR,5,31.031046189136994,3.430319962391277e-208,5.013412625034852e-204,True
SEZ6,1,8.054064551597365,8.296688517592622e-16,1.2125610268461617e-11,True
SEZ6,2,31.913657720984215,6.8756204183772814e-220,1.0048719241458397e-215,True
SEZ6,3,-29.399246487669352,2.2466204287481645e-187,3.2834357566154426e-183,True
SEZ6,4,-23.02300398522128,2.662552043385158e-116,3.891319811407408e-112,True
SEZ6,5,12.016478089101685,3.45677811513385e-33,5.052081215268122e-29,True
SEZ6L,1,8.675368246012983,4.321889313140367e-18,6.316441231154646e-14,True
SEZ6L,2,65.87612896983677,0.0,0.0,True
SEZ6L,3,-67.81584200872965,0.0,0.0,True
SEZ6L,4,-37.43447764599075,6.146241277635311e-300,8.982731627264007e-296,True
SEZ6L,5,31.803405260438186,2.0670237457233884e-218,3.020955204374732e-214,True
SEZ6L2,1,1.0688453042169233,0.2851477943311761,1.0,False
SEZ6L2,2,46.170785534344155,0.0,0.0,True
SEZ6L2,3,-53.35853189149723,0.0,0.0,True
SEZ6L2,4,-24.23019373259027,1.7310246087562157e-128,2.5298924656972094e-124,True
SEZ6L2,5,34.75162071991494,1.437446508097596e-259,2.1008280715846364e-255,True
SF3B4,1,-19.507932024047243,3.050573281532816e-84,4.458412850960211e-80,True
SF3B4,2,-0.5195330305601843,0.603392834891645,1.0,False
SF3B4,3,-8.751821176401503,2.204769476595226e-18,3.222270590043923e-14,True
SF3B4,4,23.56609896116354,1.0389637642109983e-121,1.518445541394374e-117,True
SF3B4,5,9.42225304271372,4.714290375954362e-21,6.8899353844573e-17,True
SFRP1,1,-27.693373238518614,9.49396761178185e-167,1.3875433664619176e-162,True
SFRP1,2,16.6969221670362,2.6023154398501857e-62,3.803284015341046e-58,True
SFRP1,3,-33.11833479877723,2.382647986752442e-236,3.4822400326386936e-232,True
SFRP1,4,18.10709584447421,6.72320416368415e-73,9.825962885224385e-69,True
SFRP1,5,36.31459460236255,9.416860587113718e-283,1.3762741748066698e-278,True
SFRP4,1,-20.44952985342663,2.5083217967983508e-92,3.66591230602079e-88,True
SFRP4,2,28.65666483629453,2.9745817682383727e-178,4.3473512542803815e-174,True
SFRP4,3,-42.66056302836294,0.0,0.0,True
SFRP4,4,10.079778186615675,7.394664580441757e-24,1.0807302284315628e-19,True
SFRP4,5,31.005885991462904,7.316475230251542e-208,1.0693028549012629e-203,True
SFTPA1,1,-7.24140005032796,4.54516509084197e-13,6.64275878026554e-09,True
SFTPA1,2,7.146554711043521,9.09682468078364e-13,1.3295009270965288e-08,True
SFTPA1,3,-12.311508139848998,9.489408781072911e-35,1.386877093353806e-30,True
SFTPA1,4,3.415140495148646,0.0006383166851729515,1.0,False
SFTPA1,5,12.15658232919606,6.335653993419484e-34,9.259558311382576e-30,True
SFTPA2,1,-13.27786328212049,4.016337597158576e-40,5.869877398247259e-36,True
SFTPA2,2,7.699759282880451,1.4041476351143746e-14,2.0521617687196586e-10,True
SFTPA2,3,-18.650964280314327,3.3199726635903886e-77,4.852140047837353e-73,True
SFTPA2,4,7.004147010157464,2.5361413489490013e-12,3.706570581488965e-08,True
SFTPA2,5,24.026440822372503,2.173688480892703e-126,3.1768457148246856e-122,True
SFTPD,1,-8.603253075964236,8.111821467376957e-18,1.1855427074571424e-13,True
SFTPD,2,13.575579114281181,7.387223468318468e-42,1.0796427098947441e-37,True
SFTPD,3,-22.638754421277927,1.509164953390913e-112,2.2056445793808195e-108,True
SFTPD,4,1.7700240797483349,0.07673306366479915,1.0,False
SFTPD,5,20.71594035176385,1.108871210152893e-94,1.620615273638453e-90,True
SGSH,1,-17.64034741496342,2.6575781025771907e-69,3.884050396916564e-65,True
SGSH,2,4.072093313240843,4.6709390908088766e-05,0.6826577481217173,False
SGSH,3,-13.25415839133543,5.500298642152877e-40,8.03868646550643e-36,True
SGSH,4,14.216841455731707,1.0068042597877134e-45,1.471444425679743e-41,True
SGSH,5,18.792895665977543,2.381874178752566e-78,3.4811091122468752e-74,True
SH2B3,1,-21.046673025520146,1.2047164707928824e-97,1.7606931220637975e-93,True
SH2B3,2,3.0294581878624793,0.0024519671595020225,1.0,False
SH2B3,3,-13.272670236907343,4.302947382123491e-40,6.288757598973482e-36,True
SH2B3,4,26.123450410406747,8.414238166973515e-149,1.2297409081031793e-144,True
SH2B3,5,8.991360894675877,2.5786440486103727e-19,3.76868827704406e-15,True
SH2D1A,1,-22.364448995893795,6.621933699089037e-110,9.677956101218628e-106,True
SH2D1A,2,2.617002361828636,0.00887492465395461,1.0,False
SH2D1A,3,-17.715495782190015,7.104675963545808e-70,1.0383483920722199e-65,True
SH2D1A,4,24.23064259529073,1.712618622205064e-128,2.502992116352701e-124,True
SH2D1A,5,20.04120055648594,8.929845302278497e-89,1.3050968909280023e-84,True
SH3BGRL2,1,-8.220525429664846,2.105170761752833e-16,3.0767070683017657e-12,True
SH3BGRL2,2,2.1261046553793865,0.033502511547120896,1.0,False
SH3BGRL2,3,-4.439842876836429,9.033857706000687e-06,0.13202983037320004,False
SH3BGRL2,4,7.40530067723494,1.3421619709364615e-13,1.9615697205236383e-09,True
SH3BGRL2,5,5.056030802530569,4.305341753692035e-07,0.006292256973020909,True
SH3BP1,1,-17.80793663605134,1.391586855869694e-70,2.0338041898535578e-66,True
SH3BP1,2,1.8634759279341693,0.06240488696624,1.0,False
SH3BP1,3,-6.675389179586363,2.5077717684097346e-11,3.665108439530827e-07,True
SH3BP1,4,16.735238721281867,1.3763388583333741e-62,2.0115192414542263e-58,True
SH3BP1,5,10.094278049056875,6.38260369463043e-24,9.328175299702373e-20,True
SH3GL3,1,-2.7256472660508977,0.006421195714558142,1.0,False
SH3GL3,2,3.2047184595426788,0.0013533297907434064,1.0,False
SH3GL3,3,-3.8149595850245186,0.00013647220862919,1.0,False
SH3GL3,4,2.571923058702054,0.010118200794937611,1.0,False
SH3GL3,5,0.9469212402972955,0.3436863747754939,1.0,False
SH3GLB2,1,-17.698237146365564,9.623571750975387e-70,1.406485011405053e-65,True
SH3GLB2,2,-1.0225587530074383,0.3065245862288073,1.0,False
SH3GLB2,3,-8.07452469932579,7.019905920425723e-16,1.0259592502702193e-11,True
SH3GLB2,4,19.368420701933857,4.475582714043253e-83,6.541064136574214e-79,True
SH3GLB2,5,12.305240794565139,1.025164437302799e-34,1.4982778251180405e-30,True
SHBG,1,17.228985222423333,3.3016892886142794e-66,4.825418895309769e-62,True
SHBG,2,10.024081058809665,1.2990286762465933e-23,1.8985304103343962e-19,True
SHBG,3,-1.2115781410035598,0.22568324158871914,1.0,False
SHBG,4,-28.93979682231279,1.0505472935580263e-181,1.5353748695350555e-177,True
SHBG,5,0.6371153761279983,0.5240544496736412,1.0,False
SHC1,1,0.586427651311924,0.5575924832858008,1.0,False
SHC1,2,1.4943146085008083,0.1351036974711219,1.0,False
