"Description",".sign","p.adjust","GeneRatio","Subtype"
"cell surface receptor signaling pathway","activated",1.52605382230649e-07,0.292508917954816,5
"carboxylic acid metabolic process","suppressed",3.96303546845844e-07,0.411458333333333,5
"small molecule catabolic process","suppressed",6.96109397408601e-07,0.43956043956044,5
"organic acid metabolic process","suppressed",7.59097069924611e-07,0.409090909090909,5
"cell cycle process","suppressed",9.1304059915257e-07,0.562189054726368,5
"small molecule metabolic process","suppressed",9.1304059915257e-07,0.342105263157895,5
"oxoacid metabolic process","suppressed",1.2387159366047e-06,0.405128205128205,5
"organelle organization","suppressed",2.96025306379459e-06,0.513745704467354,5
"response to stimulus","activated",3.60154369408293e-06,0.225720384204909,5
"mitotic cell cycle","suppressed",5.00893299684258e-06,0.552631578947368,5
"system development","activated",8.16473967634916e-06,0.26226012793177,5
"multicellular organism development","activated",1.21013808650552e-05,0.25797373358349,5
"protein metabolic process","suppressed",2.61072890243667e-05,0.375141242937853,5
"mitotic cell cycle process","suppressed",3.02834998008169e-05,0.561538461538462,5
"cellular response to stimulus","activated",3.26257760144166e-05,0.233375959079284,5
"regulation of cellular process","activated",3.8565779224536e-05,0.211970074812968,5
"nucleobase-containing small molecule metabolic process","suppressed",5.13239622142383e-05,0.517985611510791,5
"nucleoside phosphate metabolic process","suppressed",6.14095916394596e-05,0.522388059701492,5
"anatomical structure formation involved in morphogenesis","activated",6.14095916394596e-05,0.258241758241758,5
"cell adhesion","activated",6.14095916394596e-05,0.296422487223169,5
"alpha-amino acid metabolic process","suppressed",8.85653073990269e-05,0.571428571428571,5
"antimicrobial humoral response","activated",8.85653073990269e-05,0.447058823529412,5
"protein catabolic process","suppressed",9.19779156331785e-05,0.480392156862745,5
"regulation of cell cycle","suppressed",0.000112614128548749,0.513089005235602,5
"anatomical structure morphogenesis","activated",0.000117249387722224,0.226666666666667,5
"cellular catabolic process","suppressed",0.000159244397661982,0.457446808510638,5
"regulation of biological process","activated",0.000182966150737383,0.215384615384615,5
"organic acid catabolic process","suppressed",0.000184840876604756,0.45,5
"carboxylic acid catabolic process","suppressed",0.000184840876604756,0.45,5
"blood vessel development","activated",0.000184840876604756,0.266917293233083,5
"translation","suppressed",0.000191818106583681,0.673913043478261,5
"macromolecule catabolic process","suppressed",0.000255431063328365,0.452830188679245,5
"L-amino acid metabolic process","suppressed",0.000260417464340565,0.585365853658537,5
"organophosphate metabolic process","suppressed",0.000264117703690975,0.477157360406091,5
"autophagy","suppressed",0.000306422335273177,0.666666666666667,5
"process utilizing autophagic mechanism","suppressed",0.000306422335273177,0.666666666666667,5
"ubiquitin-dependent protein catabolic process","suppressed",0.000319650139226884,0.545454545454545,5
"angiogenesis","activated",0.00033292261753595,0.280701754385965,5
"non-proteinogenic amino acid metabolic process","suppressed",0.000425250288896002,0.619047619047619,5
"blood vessel morphogenesis","activated",0.000482654818847501,0.268,5
"sulfur compound metabolic process","suppressed",0.000495500666035759,0.454545454545455,5
"generation of precursor metabolites and energy","suppressed",0.000506267093314843,0.5,5
"modification-dependent protein catabolic process","suppressed",0.00059148435631282,0.538461538461538,5
"modification-dependent macromolecule catabolic process","suppressed",0.00059148435631282,0.538461538461538,5
"vasculature development","activated",0.00059148435631282,0.261818181818182,5
"tube morphogenesis","activated",0.000602410509967276,0.259136212624585,5
"chromatin organization","suppressed",0.000655205150920077,0.51685393258427,5
"biological regulation","activated",0.000891654068124584,0.212376933895921,5
"phosphorus metabolic process","suppressed",0.00090359031933528,0.435897435897436,5
"phosphate-containing compound metabolic process","suppressed",0.00090359031933528,0.435897435897436,5
"enzyme-linked receptor protein signaling pathway","activated",0.00095147623824832,0.270516717325228,5
"nucleic acid metabolic process","suppressed",0.00104451815347696,0.470187393526405,5
"proteinogenic amino acid metabolic process","suppressed",0.00106431247351592,0.564102564102564,5
"antibacterial humoral response","activated",0.00110660904222806,0.6,5
"post-translational protein modification","suppressed",0.00110660904222806,0.64,5
"DNA repair","suppressed",0.00120690710050434,0.647887323943662,5
"humoral immune response","activated",0.00123764349324635,0.371621621621622,5
"regulation of cell cycle process","suppressed",0.00138310106852398,0.548387096774194,5
"biosynthetic process","suppressed",0.00151433735185668,0.393537696768848,5
"nucleotide metabolic process","suppressed",0.00153636008870392,0.522935779816514,5
"protein modification by small protein conjugation or removal","suppressed",0.00165140361440146,0.641304347826087,5
"monocarboxylic acid metabolic process","suppressed",0.00186741314664163,0.390625,5
"purine-containing compound metabolic process","suppressed",0.00192921060320562,0.513761467889908,5
"chromosome organization","suppressed",0.00214106064574365,0.648648648648649,5
"regulation of catabolic process","suppressed",0.00214106064574365,0.430555555555556,5
"DNA damage response","suppressed",0.00224959997230524,0.611111111111111,5
"circulatory system development","activated",0.00236167187785981,0.247813411078717,5
"chromatin remodeling","suppressed",0.00238280677239121,0.509090909090909,5
"cartilage development","activated",0.00245092680209622,0.442622950819672,5
"proteasomal protein catabolic process","suppressed",0.00285291798423683,0.506329113924051,5
"skeletal system development","activated",0.00294411262952261,0.283464566929134,5
"nucleobase-containing compound biosynthetic process","suppressed",0.00297452198724307,0.443243243243243,5
"regulation of ubiquitin-dependent protein catabolic process","suppressed",0.00311600315113123,0.617647058823529,5
"intracellular transport","suppressed",0.00311600315113123,0.595555555555556,5
"proteolysis involved in protein catabolic process","suppressed",0.00324549651487156,0.5,5
"regulation of cell population proliferation","activated",0.00341430391939477,0.284132841328413,5
"amino acid biosynthetic process","suppressed",0.00386052360805834,0.55,5
"tube development","activated",0.00386052360805834,0.238636363636364,5
"hydrogen peroxide metabolic process","suppressed",0.0040396631496153,0.684210526315789,5
"macroautophagy","suppressed",0.0040899414719889,0.704225352112676,5
"cell cycle phase transition","suppressed",0.00432036859004896,0.578313253012048,5
"animal organ morphogenesis","activated",0.00445434111164155,0.259259259259259,5
"cell differentiation","activated",0.00445434111164155,0.211312700106724,5
"cellular developmental process","activated",0.00445434111164155,0.211312700106724,5
"regulation of cell cycle phase transition","suppressed",0.00462397353397607,0.557142857142857,5
"cellular response to toxic substance","suppressed",0.00491157821703218,0.432432432432432,5
"protein deubiquitination","suppressed",0.00587453698901183,0.823529411764706,5
"protein modification by small protein removal","suppressed",0.00587453698901183,0.823529411764706,5
"negative regulation of proteasomal ubiquitin-dependent protein catabolic process","suppressed",0.00595024063452438,0.7,5
"negative regulation of ubiquitin-dependent protein catabolic process","suppressed",0.00595024063452438,0.7,5
"cellular detoxification","suppressed",0.0061773580922228,0.428571428571429,5
"proteasome-mediated ubiquitin-dependent protein catabolic process","suppressed",0.0061773580922228,0.634615384615385,5
"negative regulation of multicellular organismal process","activated",0.00641808005270786,0.305039787798409,5
"macromolecule modification","suppressed",0.00657668090992381,0.391402714932127,5
"amino acid catabolic process","suppressed",0.00660243766319816,0.580645161290323,5
"RNA metabolic process","suppressed",0.00660243766319816,0.438223938223938,5
"cell population proliferation","activated",0.00685922797896588,0.277128547579299,5
"mitotic cell cycle phase transition","suppressed",0.007075987024336,0.617647058823529,5
"chromosome segregation","suppressed",0.007087883614719,0.764705882352941,5
"DNA metabolic process","suppressed",0.007087883614719,0.548611111111111,5
"cell surface receptor protein serine/threonine kinase signaling pathway","activated",0.00715019220778389,0.309090909090909,5
"protein modification process","suppressed",0.00715019220778389,0.5635103926097,5
"animal organ development","activated",0.0074485595645129,0.258698940998487,5
"pyridine-containing compound metabolic process","suppressed",0.00785816665972694,0.476190476190476,5
"response to nerve growth factor","suppressed",0.00802068490711999,0.545454545454545,5
