protein,subtype,beta,pvalue,qvalue,p_corrected
TBL1X,1,0.0024528832726018394,0.04670958118010398,0.06715794677296799,1.0
TBL1X,2,-0.0025476867017189785,0.06547616431520388,0.10911449731661399,1.0
TBL1X,3,0.003599678956994151,0.03512215436220181,0.055313608405558136,1.0
TBL1X,4,-0.018455569505178876,8.290599312384636e-33,6.21369789489751e-32,2.4233421790100294e-29
TBL1X,5,-0.007482617115418822,0.0009906771234275073,0.0028585875930687106,1.0
TBR1,1,-0.0008732128303039216,0.516654470709973,0.5792792550384546,1.0
TBR1,2,0.0008049109470255728,0.5665255626093979,0.6597451769309578,1.0
TBR1,3,0.001161187971656438,0.46480637900811406,0.5384974418710731,1.0
TBR1,4,-0.003564340757875713,0.025380355585386115,0.03510969208522651,1.0
TBR1,5,0.0004086243270491817,0.8532420934190452,0.8819047521442253,1.0
TCL1A,1,0.006168077817355121,4.3350080106998e-07,1.06035384228247e-06,0.0012671228415275515
TCL1A,2,0.008116566820103576,5.089033532388353e-09,1.6328479709298742e-08,1.4875245015171156e-05
TCL1A,3,0.008703644601851036,6.43413827743704e-08,2.0464620440640335e-07,0.00018806986184948467
TCL1A,4,0.0003097275941994065,0.8448158027059308,0.8704253053610983,1.0
TCL1A,5,-0.004439564440697888,0.0780430253618764,0.12257913118364575,1.0
TCL1B,1,-0.0029021214720137455,0.023322944539003382,0.035451360835937015,1.0
TCL1B,2,-0.00142241984319307,0.31843465224058254,0.41795441782632364,1.0
TCL1B,3,0.00023189459151855686,0.8863288867420371,0.9090313459463069,1.0
TCL1B,4,-0.0007419410214008331,0.6397688297493767,0.6885005166703406,1.0
TCL1B,5,-0.003066090737425738,0.2021150271508611,0.27112538979438594,1.0
TCN1,1,-0.0038380281257963562,0.0029608211479894182,0.005182323482379084,1.0
TCN1,2,-0.004947863233825852,0.0003305748526434589,0.0007959392868837153,0.9662702942768304
TCN1,3,0.0010268022496865497,0.5158576048920678,0.58673413142374,1.0
TCN1,4,-0.005602574961846575,0.00033190402156211277,0.0005345209118600857,0.9701554550260556
TCN1,5,-0.0054302317282334195,0.030201787220329228,0.055339595589323116,1.0
TCN2,1,0.01000997413993739,2.9030567235968636e-16,1.0541161246054202e-15,8.485634803073632e-13
TCN2,2,0.007137404269120277,1.4696746420536138e-07,4.4150657540829524e-07,0.0004295858978722713
TCN2,3,0.011442674964690558,1.597346785364603e-12,6.670063790886764e-12,4.669044653620735e-09
TCN2,4,0.011536541400298797,1.6933873621444076e-14,4.326723128975615e-14,4.9497712595481036e-11
TCN2,5,0.010168679654693927,2.9372784728394e-05,0.00010638990057137008,0.08585664976109567
TCOF1,1,0.008305143981967161,3.93942621944089e-13,1.2766012017101686e-12,1.151494283942572e-09
TCOF1,2,0.005691479650312264,1.3643703989340845e-05,3.658765757875531e-05,0.03988054676084329
TCOF1,3,0.007859079223974308,2.68998289120843e-07,8.207536525054532e-07,0.0007862819991002241
TCOF1,4,0.00017455540620056086,0.9135648427008161,0.9307598589105909,1.0
TCOF1,5,0.002523498561916139,0.36987365005734896,0.4474920029460393,1.0
TCP11,1,-0.002519035328941426,0.05576159873409843,0.07904517609106193,1.0
TCP11,2,-0.00268555521921629,0.07193167220307778,0.11858786116728502,1.0
TCP11,3,-0.0016724852095090837,0.29374617433707456,0.36366796594124057,1.0
TCP11,4,-0.0026504530434291423,0.09618986334917595,0.12342536021494352,1.0
